file,executionTime,iterations,stripeSteps,totalSteps,executionTimeIcycle,iterationsIcycle,stripeStepsIcycle,totalStepsIcycle
0.txt,1.001119613647461,5,155,485,0.0,5,175,485
1.txt,0.0,5,140,480,0.9992122650146484,6,222,582
10.txt,0.0,5,160,480,0.9963512420654297,5,170,490
11.txt,1.0383129119873047,5,150,475,1.0068416595458984,6,240,588
12.txt,0.0,5,105,470,0.0,5,175,485
13.txt,1.0006427764892578,5,135,490,0.0,6,228,588
14.txt,1.0008811950683594,5,145,480,1.0404586791992188,5,175,485
15.txt,1.0137557983398438,5,125,480,0.0,5,160,485
16.txt,1.0018348693847656,5,150,475,0.6549358367919922,6,216,582
17.txt,1.0008811950683594,5,105,470,1.5387535095214844,5,110,475
18.txt,0.9984970092773438,5,150,475,2.0318031311035156,5,155,480
19.txt,0.0,5,140,475,1.018524169921875,6,216,582
2.txt,0.9992122650146484,6,240,588,0.9989738464355469,6,270,588
20.txt,0.5104541778564453,5,125,480,0.0,6,228,588
21.txt,0.0,5,125,480,0.6771087646484375,5,150,485
22.txt,0.6566047668457031,5,125,470,1.3096332550048828,5,125,475
23.txt,0.6649494171142578,5,115,465,1.9989013671875,5,160,485
24.txt,0.0,5,125,475,0.0,5,165,485
25.txt,0.0,5,150,485,1.0416507720947266,5,175,485
26.txt,1.5082359313964844,5,105,480,1.520395278930664,5,165,485
27.txt,0.0,5,145,475,0.0,5,165,485
28.txt,1.0063648223876953,5,125,475,1.0042190551757812,6,228,588
29.txt,0.9992122650146484,5,115,470,1.1603832244873047,5,175,485
30.txt,1.0006427764892578,5,130,475,1.0042190551757812,5,165,485
31.txt,1.0287761688232422,5,135,485,0.0,5,180,485
32.txt,1.0001659393310547,5,140,475,1.0018348693847656,5,140,480
33.txt,0.0,5,140,470,1.505136489868164,5,165,485
34.txt,1.0063648223876953,4,76,376,0.9992122650146484,5,175,485
35.txt,0.0,5,120,475,1.024484634399414,5,160,485
36.txt,0.0,5,110,470,0.0,5,165,480
37.txt,0.9996891021728516,5,130,475,1.027822494506836,5,160,485
38.txt,1.0075569152832031,5,125,475,0.7162094116210938,5,160,485
39.txt,0.9996891021728516,5,105,465,1.5065670013427734,5,150,485
4.txt,0.9999275207519531,5,125,480,2.043485641479492,6,318,1182
40.txt,1.0080337524414062,5,125,475,0.7009506225585938,5,175,490
41.txt,0.9963512420654297,5,140,475,1.3289451599121094,5,140,480
42.txt,0.9968280792236328,5,120,480,1.0004043579101562,5,180,485
43.txt,0.0,5,130,470,0.0,5,160,485
44.txt,0.0,5,160,480,0.0,5,160,485
45.txt,0.9992122650146484,5,130,480,1.0066032409667969,5,160,485
46.txt,0.9992122650146484,5,115,475,1.111745834350586,6,228,582
47.txt,0.7548332214355469,5,140,475,0.9996891021728516,5,180,485
48.txt,2.0258426666259766,5,130,470,1.245260238647461,5,165,485
49.txt,0.0,5,115,470,1.0001659393310547,5,165,485
5.txt,0.99945068359375,5,155,485,0.0,6,240,582
51.txt,0.0,5,120,480,2.033710479736328,6,384,1182
53.txt,0.7536411285400391,5,160,480,1.5273094177246094,6,366,1182
54.txt,1.2660026550292969,5,115,475,1.6281604766845703,5,175,485
55.txt,0.5083084106445312,5,130,475,0.3898143768310547,5,130,480
56.txt,0.0,5,110,470,1.0056495666503906,5,165,485
57.txt,0.99945068359375,5,110,455,1.5249252319335938,5,150,485
58.txt,0.9951591491699219,5,150,475,0.0,5,180,485
59.txt,0.0,5,145,480,0.0,6,240,588
6.txt,0.0,5,120,480,0.5161762237548828,5,120,485
60.txt,0.0,5,115,470,0.0,5,150,485
61.txt,1.4638900756835938,5,105,470,1.0006427764892578,5,165,485
62.txt,1.0383129119873047,5,165,480,1.003265380859375,5,175,485
63.txt,0.9987354278564453,5,120,475,0.6570816040039062,5,175,485
64.txt,1.0356903076171875,5,120,475,1.0454654693603516,6,216,582
65.txt,2.0074844360351562,5,135,480,1.0204315185546875,5,180,485
66.txt,0.0,5,115,475,0.0,5,150,485
67.txt,0.0,5,140,480,0.0,5,140,485
68.txt,1.0025501251220703,5,115,475,0.0,5,165,485
7.txt,0.0,5,135,480,0.9989738464355469,5,150,490
70.txt,0.5495548248291016,5,180,485,2.5768280029296875,7,553,1379
71.txt,0.0,5,120,485,1.0085105895996094,5,165,485
72.txt,1.0013580322265625,5,130,470,1.0008811950683594,5,160,485
73.txt,0.507354736328125,5,135,480,1.0001659393310547,5,165,480
74.txt,0.9999275207519531,5,150,480,1.0001659393310547,5,180,485
75.txt,0.0,5,175,485,0.99945068359375,6,258,588
76.txt,0.0,5,150,475,0.0,5,175,485
77.txt,0.9987354278564453,5,120,480,0.0,5,165,485
78.txt,0.9999275207519531,5,120,470,0.0,6,216,582
79.txt,0.0,5,130,480,2.001047134399414,6,246,588
8.txt,0.0,5,160,485,1.0001659393310547,6,252,582
80.txt,0.99945068359375,5,140,490,0.5047321319580078,5,160,485
81.txt,0.0,5,145,480,0.5040168762207031,5,180,485
82.txt,1.0077953338623047,5,155,480,0.0,5,155,485
83.txt,0.9992122650146484,5,130,485,0.0,5,165,485
84.txt,0.0,5,115,485,0.0,5,175,485
85.txt,0.0,5,125,480,0.5142688751220703,5,125,485
86.txt,0.0,5,115,470,0.0,6,258,588
87.txt,1.008749008178711,5,130,470,1.0027885437011719,5,180,485
88.txt,1.5065670013427734,5,145,490,1.001596450805664,5,165,490
89.txt,0.0,5,120,465,0.9996891021728516,5,175,485
9.txt,1.1038780212402344,5,125,485,1.695394515991211,6,228,582
90.txt,1.0275840759277344,5,120,475,1.0023117065429688,5,165,485
91.txt,1.0006427764892578,5,130,475,1.0001659393310547,5,175,485
93.txt,0.0,5,115,480,1.6627311706542969,6,396,1182
94.txt,1.0063648223876953,5,130,480,0.0,6,240,582
95.txt,0.0,5,155,475,0.0,5,180,490
96.txt,0.0,5,105,480,0.9925365447998047,5,165,480
97.txt,0.99945068359375,5,120,480,0.9982585906982422,5,150,485
98.txt,0.9999275207519531,5,150,480,1.0366439819335938,6,240,582
99.txt,0.98419189453125,5,125,475,0.0,5,160,485
