file,executionTime,steps,executionTimeIcycle,stepsIcycle
0.txt,0.0,11,0.0,16
1.txt,0.0,10,0.0,17
10.txt,0.9989738464355469,11,0.0,13
11.txt,0.0,7,0.0,19
12.txt,0.0,10,0.0,16
13.txt,0.0,9,0.0,18
14.txt,0.0,8,0.0,16
15.txt,0.0,12,0.0,14
16.txt,0.0,15,0.0,17
17.txt,0.5123615264892578,9,0.0,9
18.txt,0.0,14,0.0,14
19.txt,0.0,12,0.9989738464355469,17
2.txt,0.0,3,0.0,22
20.txt,0.0,10,0.0,18
21.txt,0.0,10,0.0,13
22.txt,0.0,7,0.0,7
23.txt,0.9965896606445312,10,0.0,14
24.txt,0.0,12,0.0,15
25.txt,0.0,12,0.0,16
26.txt,0.0,9,0.0,15
27.txt,0.0,8,0.0,15
28.txt,0.0,9,0.0,18
29.txt,0.0,8,0.0,16
30.txt,0.0,11,0.0,15
31.txt,0.0,12,0.0,17
32.txt,0.0,12,0.0,12
33.txt,0.0,8,0.0,15
34.txt,0.0,10,1.0013580322265625,16
35.txt,0.0,4,0.0,14
36.txt,0.0,10,0.0,15
37.txt,0.0,9,1.0004043579101562,14
38.txt,0.0,10,0.0,14
39.txt,0.0,1,0.0,13
4.txt,0.0,11,0.0,15
40.txt,0.0,4,0.0,16
41.txt,0.0,7,0.0,7
42.txt,0.0,10,0.0,17
43.txt,0.0,11,0.0,14
44.txt,0.0,13,0.0,13
45.txt,0.0,5,0.0,14
46.txt,0.0,10,0.0,18
47.txt,0.0,10,0.9953975677490234,17
48.txt,0.0,2,0.0,15
49.txt,0.0,10,0.0,15
5.txt,1.0006427764892578,12,0.0,19
51.txt,1.0268688201904297,9,0.0,15
53.txt,0.0,16,0.0,17
54.txt,1.008749008178711,10,0.0,16
55.txt,1.0223388671875,12,0.0,12
56.txt,0.0,10,0.0,15
57.txt,0.0,6,0.0,13
58.txt,0.0,9,0.0,17
59.txt,1.0123252868652344,9,0.0,19
6.txt,0.0,10,0.0,11
60.txt,0.0,10,0.0,13
61.txt,0.0,8,0.0,15
62.txt,0.0,6,0.0,16
63.txt,0.0,10,0.0,16
64.txt,0.0,10,0.0,17
65.txt,0.0,10,0.5257129669189453,17
66.txt,0.0,10,0.0,13
67.txt,0.0,13,0.0,14
68.txt,0.0,5,0.0,15
7.txt,0.0,3,0.9973049163818359,14
70.txt,0.0,16,0.0,20
71.txt,0.5078315734863281,9,0.0,15
72.txt,0.0,8,0.0,14
73.txt,0.0,9,0.0,14
74.txt,0.0,16,0.0,17
75.txt,0.0,17,0.0,21
76.txt,0.0,11,0.0,16
77.txt,0.0,6,0.0,15
78.txt,0.0,10,0.0,17
79.txt,0.0,9,0.0,20
8.txt,0.0,2,0.0,20
80.txt,0.0,10,0.0,14
81.txt,0.0,9,0.0,16
82.txt,0.0,11,0.0,11
83.txt,0.0,9,0.0,15
84.txt,0.0,10,0.0,16
85.txt,0.0,10,0.0,10
86.txt,0.0,8,0.0,21
87.txt,0.0,10,0.0,17
88.txt,0.0,14,0.0,14
89.txt,0.0,11,0.0,16
9.txt,0.0,11,0.0,18
90.txt,0.0,8,0.0,15
91.txt,0.0,11,0.0,16
93.txt,0.0,2,0.0,15
94.txt,0.0,12,0.0,19
95.txt,0.0,15,0.0,17
96.txt,0.0,8,0.0,14
97.txt,0.0,11,0.9906291961669922,13
98.txt,0.0,11,0.0,19
99.txt,0.0,9,0.0,14
