file,executionTime,iterations,stripeSteps,totalSteps,executionTimeIcycle,iterationsIcycle,stripeStepsIcycle,totalStepsIcycle
0.txt,1.001596450805664,4,76,184,0.0,5,115,240
1.txt,0.0,5,95,225,0.0,5,150,240
10.txt,0.0,4,76,188,0.0,5,115,240
100.txt,0.0,4,76,188,0.9732246398925781,5,115,240
101.txt,0.0,4,72,184,0.9992122650146484,5,110,240
102.txt,0.0,4,68,184,1.0025501251220703,5,115,240
103.txt,0.0,5,130,235,0.0,5,140,240
104.txt,1.0094642639160156,5,110,230,0.0,5,130,240
105.txt,0.0,4,64,180,0.0,5,125,240
106.txt,0.0,5,110,230,0.5054473876953125,5,125,240
107.txt,0.0,4,68,184,0.0,5,110,240
108.txt,0.0,4,64,180,0.0,5,110,235
109.txt,0.0,4,64,184,0.0,5,115,240
11.txt,0.0,4,68,188,0.0,5,105,235
110.txt,1.0082721710205078,4,52,172,1.032114028930664,5,140,240
111.txt,0.0,4,60,180,0.0,5,100,235
112.txt,0.0,4,60,184,0.0,5,100,235
113.txt,0.0,4,68,180,0.0,5,125,240
114.txt,0.0,4,72,184,0.0,5,125,240
115.txt,0.0,4,72,188,0.0,5,115,240
116.txt,0.0,4,52,184,0.0,5,110,240
117.txt,0.9999275207519531,5,100,225,0.0,5,125,240
118.txt,0.0,4,68,188,0.0,4,80,188
119.txt,0.9999275207519531,5,100,225,0.0,5,140,240
12.txt,1.0004043579101562,4,60,180,0.0,4,76,188
120.txt,0.9999275207519531,4,60,180,0.0,5,115,240
121.txt,0.0,4,60,188,0.0,5,130,240
122.txt,1.0235309600830078,4,76,184,0.0,5,130,240
123.txt,0.99945068359375,4,68,180,0.0,4,72,188
124.txt,0.0,4,72,188,0.0,5,115,240
125.txt,0.0,4,72,184,0.0,5,115,240
126.txt,1.0292530059814453,5,110,235,0.0,5,110,240
127.txt,0.0,4,68,184,0.0,5,110,240
128.txt,0.0,4,64,176,0.9996891021728516,5,110,235
129.txt,0.0,4,84,188,1.001119613647461,4,76,188
13.txt,1.0056495666503906,4,64,180,0.0,5,110,235
130.txt,0.0,4,72,184,0.7765293121337891,5,110,235
131.txt,0.0,4,80,188,1.027822494506836,5,105,235
132.txt,0.0,4,76,188,0.0,5,140,240
133.txt,0.0,4,60,176,0.9968280792236328,5,115,240
134.txt,0.0,4,60,184,0.0,5,125,240
135.txt,0.0,4,60,180,0.0,4,80,192
136.txt,0.0,5,130,235,0.0,5,140,240
137.txt,1.0333061218261719,5,100,230,0.0,5,115,240
138.txt,0.0,4,60,176,1.2402534484863281,5,105,235
139.txt,0.0,4,76,180,0.0,5,125,240
14.txt,0.0,4,72,188,0.0,5,110,240
140.txt,0.0,5,110,225,0.0,5,130,240
141.txt,0.0,5,110,230,0.0,5,140,240
142.txt,0.0,4,76,184,0.0,5,130,240
143.txt,0.0,4,72,184,0.0,5,130,240
144.txt,0.0,4,80,188,0.0,5,100,235
145.txt,1.0008811950683594,4,60,188,0.0,5,115,240
147.txt,0.0,5,125,235,0.0,6,270,588
148.txt,0.0,4,64,180,1.0287761688232422,4,80,192
149.txt,1.547098159790039,4,80,184,0.0,5,115,240
15.txt,0.0,4,64,172,0.0,5,125,240
150.txt,1.0395050048828125,4,64,184,1.0020732879638672,5,110,240
151.txt,0.0,4,68,184,0.0,5,100,235
152.txt,1.0004043579101562,4,76,188,0.0,5,140,240
153.txt,0.0,4,64,176,1.0008811950683594,5,100,235
154.txt,0.0,4,44,176,0.0,5,115,240
155.txt,0.0,4,80,184,0.0,5,150,240
157.txt,0.9984970092773438,5,105,230,1.0294914245605469,6,276,588
158.txt,0.0,4,56,176,0.0,4,80,192
159.txt,0.0,4,72,184,0.0,5,100,235
16.txt,0.0,4,72,180,0.0,5,120,240
160.txt,0.0,4,76,188,1.0004043579101562,5,130,240
161.txt,0.0,4,80,188,0.0,5,125,240
162.txt,0.0,5,105,230,0.0,5,130,240
163.txt,0.0,5,120,225,0.0,5,140,240
164.txt,0.0,4,68,180,0.0,5,115,240
165.txt,0.0,4,80,180,0.0,5,160,240
166.txt,0.0,4,68,180,1.096963882446289,5,110,235
167.txt,0.0,4,68,188,1.001596450805664,5,110,240
168.txt,0.0,4,68,188,0.0,5,115,240
169.txt,0.0,5,115,230,0.0,5,115,240
17.txt,0.0,4,72,188,1.0385513305664062,5,110,235
170.txt,0.0,4,72,188,0.0,5,130,240
171.txt,1.0001659393310547,4,68,176,0.0,5,130,240
172.txt,0.0,4,80,188,0.0,5,115,240
174.txt,1.0001659393310547,4,72,184,0.995635986328125,6,252,588
175.txt,0.0,4,88,184,1.0383129119873047,5,120,240
176.txt,0.0,4,68,184,0.0,5,115,240
177.txt,0.0,4,68,180,0.0,5,115,240
178.txt,0.0,4,72,176,1.0004043579101562,5,115,240
179.txt,0.0,4,64,192,0.0,5,100,235
18.txt,0.9989738464355469,4,72,180,1.0037422180175781,5,115,240
180.txt,1.0006427764892578,4,68,184,0.0,5,120,240
181.txt,0.0,4,76,184,0.0,4,76,188
182.txt,0.5087852478027344,4,60,184,0.0,5,110,240
183.txt,0.0,4,80,188,0.0,5,125,240
184.txt,0.0,4,80,184,0.7770061492919922,5,125,240
185.txt,0.0,4,60,184,0.0,4,60,188
186.txt,0.0,4,60,176,0.0,5,100,235
187.txt,0.9999275207519531,4,72,180,0.0,4,76,188
188.txt,0.0,4,64,172,0.0,5,110,235
189.txt,0.0,4,72,176,0.0,5,125,240
19.txt,0.0,4,72,188,1.0356903076171875,5,125,240
190.txt,1.5442371368408203,4,80,184,0.0,5,115,240
191.txt,0.0,4,80,188,0.9996891021728516,5,125,240
192.txt,1.0001659393310547,5,110,235,0.0,5,140,240
193.txt,0.0,4,68,176,0.0,5,125,240
194.txt,0.0,4,64,180,0.9999275207519531,5,115,240
195.txt,0.0,4,60,180,1.0268688201904297,5,100,235
196.txt,0.0,4,68,180,0.0,5,110,235
197.txt,0.0,5,100,235,1.0273456573486328,5,145,240
198.txt,0.9794235229492188,5,100,230,0.9984970092773438,5,125,240
199.txt,1.0488033294677734,5,130,230,0.0,5,140,240
2.txt,0.0,4,68,184,1.0018348693847656,5,110,240
20.txt,1.001596450805664,4,72,180,0.99945068359375,5,125,240
200.txt,0.0,4,52,176,0.0,4,80,192
201.txt,0.9999275207519531,4,68,180,0.0,5,110,235
202.txt,0.0,4,68,188,0.0,4,68,192
203.txt,0.0,4,72,176,0.9725093841552734,4,76,188
205.txt,1.0073184967041016,4,76,188,0.99945068359375,6,300,588
206.txt,0.0,4,72,180,1.0023117065429688,5,110,235
207.txt,0.0,4,56,184,0.9961128234863281,5,115,240
208.txt,0.0,4,76,184,1.0004043579101562,5,120,240
209.txt,1.0013580322265625,4,76,188,1.0051727294921875,5,140,240
21.txt,0.0,4,76,184,0.0,5,110,240
210.txt,0.9999275207519531,4,72,188,0.0,5,110,240
211.txt,1.001119613647461,4,68,188,0.0,5,125,240
212.txt,0.9996891021728516,4,84,184,0.0,5,125,240
213.txt,0.0,5,120,240,0.0,5,125,240
214.txt,0.0,4,64,184,0.0,4,80,192
215.txt,0.0,4,68,188,1.0018348693847656,5,125,240
216.txt,1.0001659393310547,5,100,230,0.0,5,110,240
217.txt,0.0,5,110,230,0.0,5,130,240
218.txt,1.0035037994384766,4,60,184,0.0,5,100,235
219.txt,0.9982585906982422,4,72,180,1.001596450805664,5,130,240
22.txt,0.0,5,105,240,0.0,5,110,240
220.txt,1.0008811950683594,4,80,188,1.5094280242919922,5,130,240
221.txt,0.9999275207519531,4,76,180,0.9996891021728516,5,115,240
222.txt,0.9827613830566406,4,84,188,1.0006427764892578,5,120,240
223.txt,0.0,4,56,188,0.0,5,105,235
224.txt,1.0001659393310547,4,64,180,0.0,4,80,192
225.txt,0.0,4,92,188,1.0492801666259766,5,165,240
226.txt,0.0,4,72,180,0.0,4,72,188
227.txt,0.0,4,68,180,0.9980201721191406,5,100,235
228.txt,0.0,4,56,180,0.0,5,110,235
229.txt,1.0061264038085938,5,105,240,0.0,5,125,240
23.txt,0.0,5,100,230,0.9999275207519531,5,130,240
230.txt,0.0,4,76,192,0.9984970092773438,5,115,240
231.txt,1.0063648223876953,5,105,240,1.0402202606201172,5,130,240
232.txt,0.0,4,64,180,0.0,5,125,240
233.txt,1.3120174407958984,4,52,184,0.0,5,110,235
234.txt,0.0,4,68,180,0.9863376617431641,4,68,184
235.txt,0.0,4,76,180,1.0089874267578125,5,100,235
236.txt,0.0,4,68,184,0.5037784576416016,5,115,240
237.txt,0.0,4,60,180,1.5058517456054688,5,130,240
238.txt,0.0,4,68,180,0.0,5,110,240
239.txt,0.0,4,60,180,0.0,4,80,192
24.txt,0.0,4,64,188,1.0001659393310547,5,110,235
240.txt,0.0,4,56,172,1.0001659393310547,5,120,235
241.txt,0.0,4,68,180,0.0,5,125,240
242.txt,0.0,4,44,176,1.0113716125488281,4,76,188
243.txt,0.0,5,115,230,0.0,5,140,240
244.txt,0.0,5,100,230,0.0,5,115,240
