file,executionTime,steps,executionTimeIcycle,stepsIcycle
0.txt,0.0,11,0.0,11
1.txt,0.99945068359375,5,0.0,15
10.txt,0.0,8,0.0,11
100.txt,0.0,8,0.0,11
101.txt,0.0,8,0.0,10
102.txt,0.0,7,0.0,11
103.txt,0.0,9,0.0,14
104.txt,0.0,10,0.0,13
105.txt,1.0013580322265625,5,0.0,12
106.txt,0.0,11,0.0,12
107.txt,0.0,8,0.0,10
108.txt,0.0,7,0.0,10
109.txt,0.0,6,0.7994174957275391,11
11.txt,0.0,8,0.0,10
110.txt,0.0,5,0.0,14
111.txt,0.0,7,0.0,9
112.txt,0.0,7,0.0,9
113.txt,0.0,7,0.0,12
114.txt,0.0,4,0.0,12
115.txt,0.0,8,0.0,11
116.txt,0.0,5,0.0,10
117.txt,0.0,5,0.0,12
118.txt,0.0,7,0.0,8
119.txt,0.0,8,0.0,14
12.txt,0.0,6,0.0,8
120.txt,0.0,6,0.0,11
121.txt,0.0,4,0.0,13
122.txt,0.0,7,0.0,13
123.txt,0.0,7,0.0,7
124.txt,0.0,2,0.0,11
125.txt,0.0,8,0.0,11
126.txt,0.5459785461425781,11,0.0,11
127.txt,0.0,7,0.0,10
128.txt,1.0428428649902344,6,0.0,10
129.txt,0.0,4,0.0,8
13.txt,0.0,8,0.0,10
130.txt,0.0,5,0.0,10
131.txt,0.0,9,0.0,9
132.txt,0.0,7,0.0,14
133.txt,0.0,7,0.0,11
134.txt,0.0,4,0.0,12
135.txt,0.0,6,0.0,9
136.txt,0.0,1,0.0,14
137.txt,0.0,8,0.0,11
138.txt,0.0,7,0.0,9
139.txt,0.0,8,0.0,12
14.txt,0.0,9,0.0,10
140.txt,0.0,6,0.0,12
141.txt,0.0,7,0.0,14
142.txt,0.0,3,0.0,13
143.txt,0.0,7,0.0,13
144.txt,0.0,7,0.0,9
145.txt,0.0,7,0.0,11
147.txt,0.0,10,0.9996891021728516,13
148.txt,0.0,5,0.0,9
149.txt,0.0,9,0.0,11
15.txt,0.0,6,0.0,12
150.txt,0.0,6,0.0,10
151.txt,0.0,8,0.0,9
152.txt,0.0,5,0.0,14
153.txt,0.0,6,0.0,9
154.txt,0.0,5,0.0,11
155.txt,0.0,6,0.0,15
157.txt,0.0,10,0.0,13
158.txt,0.0,6,0.0,9
159.txt,0.9980201721191406,8,0.0,9
16.txt,0.0,7,0.0,11
160.txt,0.0,10,0.0,13
161.txt,0.0,8,1.0001659393310547,12
162.txt,0.0,9,0.0,13
163.txt,0.0,2,0.0,14
164.txt,0.0,7,0.0,11
165.txt,0.0,3,0.0,16
166.txt,0.0,4,0.0,10
167.txt,0.0,7,0.0,10
168.txt,0.0,8,0.0,11
169.txt,0.0,8,0.0,11
17.txt,0.0,6,0.0,10
170.txt,0.0,9,0.0,13
171.txt,0.0,5,0.0,13
172.txt,0.0,10,0.0,11
174.txt,0.0,8,0.0,11
175.txt,0.0,4,0.0,11
176.txt,0.0,6,0.0,11
177.txt,0.0,6,0.0,11
178.txt,0.0,9,0.0,11
179.txt,0.0,6,0.0,9
18.txt,0.0,7,0.0,11
180.txt,0.0,6,0.0,12
181.txt,1.0426044464111328,7,0.0,8
182.txt,0.0,7,1.0323524475097656,10
183.txt,0.0,8,0.0,12
184.txt,0.0,9,0.0,12
185.txt,0.0,7,0.0,7
186.txt,0.0,8,0.0,9
187.txt,0.0,5,0.0,8
188.txt,0.0,8,0.0,10
189.txt,0.0,10,0.0,12
19.txt,0.0,6,0.0,12
190.txt,0.0,9,0.0,11
191.txt,0.0,9,0.0,12
192.txt,0.0,7,0.0,14
193.txt,0.0,5,0.0,12
194.txt,0.0,7,0.0,11
195.txt,0.0,3,0.0,9
196.txt,0.0,6,1.0001659393310547,10
197.txt,0.0,8,0.0,14
198.txt,0.0,5,0.0,12
199.txt,0.0,7,0.9999275207519531,14
2.txt,0.0,8,0.0,10
20.txt,0.0,3,0.0,12
200.txt,0.0,5,0.0,9
201.txt,0.0,5,0.0,10
202.txt,0.0,9,0.0,9
203.txt,0.0,6,0.0,8
205.txt,0.0,6,0.0,12
206.txt,0.0,7,0.0,10
207.txt,1.0428428649902344,6,0.0,11
208.txt,0.0,7,0.0,11
209.txt,0.0,6,0.0,14
21.txt,0.0,6,0.0,10
210.txt,0.0,9,0.0,10
211.txt,0.0,7,0.0,12
212.txt,0.0,9,0.0,12
213.txt,0.0,8,0.0,12
214.txt,0.0,6,0.0,9
215.txt,0.0,8,0.0,12
216.txt,0.0,7,1.0020732879638672,10
217.txt,0.0,8,0.0,13
218.txt,0.0,6,0.0,9
219.txt,0.0,1,0.0,13
22.txt,0.9977817535400391,7,0.0,10
220.txt,0.0,9,0.0,13
221.txt,0.0,9,0.0,11
222.txt,0.9481906890869141,6,0.0,11
223.txt,0.0,6,0.0,10
224.txt,0.0,6,0.0,9
225.txt,0.0,3,0.0,17
226.txt,0.0,6,0.0,7
227.txt,0.0,7,0.0,9
228.txt,0.0,8,0.0,10
229.txt,0.0,10,0.0,12
23.txt,0.0,5,0.0,13
230.txt,0.0,8,0.0,11
231.txt,0.0,4,0.0,13
232.txt,0.0,7,0.0,12
233.txt,0.0,5,0.0,10
234.txt,1.0001659393310547,2,0.0,2
235.txt,0.0,6,0.0,9
236.txt,0.0,7,0.0,11
237.txt,0.0,7,0.0,13
238.txt,0.0,4,0.0,10
239.txt,0.5428791046142578,4,0.0,9
24.txt,0.0,7,0.0,10
240.txt,0.0,3,0.0,12
241.txt,0.0,4,0.0,12
242.txt,0.0,5,0.0,8
243.txt,0.0,8,0.0,14
244.txt,0.0,7,0.0,11
245.txt,0.0,5,0.0,11
246.txt,0.0,5,0.0,11
247.txt,0.0,4,0.0,12
248.txt,0.0,7,1.0273456573486328,12
249.txt,0.0,8,0.0,11
25.txt,0.0,4,0.0,12
250.txt,0.0,6,0.0,12
251.txt,0.0,6,0.0,7
252.txt,0.0,6,0.0,11
253.txt,0.0,3,0.0,11
254.txt,0.0,3,0.0,12
255.txt,0.0,4,0.0,10
256.txt,0.0,8,0.0,12
257.txt,0.0,7,0.0,12
258.txt,0.0,7,0.0,13
259.txt,0.0,8,0.0,12
26.txt,0.9987354278564453,6,0.0,9
260.txt,0.0,11,0.0,12
